title,link,newspaper,date,time,category
Former DMP commissioner Asaduzzaman Mia arrested,https://www.thedailystar.net/news/bangladesh/news/former-dmp-commissioner-asaduzzaman-mia-arrested-3700836,The Daily Star,2024-09-12,00:16:35.452705,Rapid Action Battalion has arrested former Dhaka Metropolitan Police (DMP) commissioner Asaduzzaman Mia from the capital's Mohakhali area
Ronaldo says Ten Hag's attitude too negative for Man Utd,https://www.thedailystar.net/sports/football/news/ronaldo-says-ten-hags-attitude-too-negative-man-utd-3700671,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Abu Bakar killing: Locals demand reinvestigation,https://www.thedailystar.net/news/bangladesh/rights/news/abu-bakar-killing-locals-demand-reinvestigation-3700731,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Gang-rape of 70-year-old: Cops yet to make any arrest,https://www.thedailystar.net/news/bangladesh/crime-justice/news/gang-rape-70-year-old-cops-yet-make-any-arrest-3700601,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Hasina's extradition: India to deal with govt thru diplomatic channel,https://www.thedailystar.net/news/bangladesh/diplomacy/news/hasinas-extradition-india-deal-govt-thru-diplomatic-channel-3700466,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
"Woman raped on moving bus: Driver, helper arrested",https://www.thedailystar.net/news/bangladesh/crime-justice/news/woman-raped-moving-bus-driver-helper-arrested-3700621,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Politics of destroying shrines and unmaking places,https://www.thedailystar.net/opinion/views/news/politics-destroying-shrines-and-unmaking-places-3700461,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Persistent power outages must be addressed,https://www.thedailystar.net/opinion/editorial/news/persistent-power-outages-must-be-addressed-3700446,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
"Past govt fuelled inflation by printing Tk 60,000cr: Yunus",https://www.thedailystar.net/business/news/past-govt-fuelled-inflation-printing-tk-60000cr-yunus-3700876,The Daily Star,2024-09-12,00:16:35.452705,"People are grappling with high inflation because of the fresh injection of Tk 60,000 crore into the market by Sheikh Hasina’s government, Prof Muhammad Yunus, chief adviser to the interim government, said yesterday."
সাবেক ডিএমপি কমিশনার আছাদুজ্জামান মিয়া গ্রেপ্তার,https://bangla.thedailystar.net/news/bangladesh/crime-justice/news-613436,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
"যৌথ বাহিনীর অভিযান স্বস্তি ফেরানোর জন্য, আতঙ্ক ছড়ানোর জন্যে নয়: গোলাম মোর্তোজা",https://bangla.thedailystar.net/star-multimedia/news-613426,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
"কোন খাত সংস্কারের নেতৃত্বে কে, জানালেন প্রধান উপদেষ্টা",https://bangla.thedailystar.net/news/bangladesh/news-613406,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
