title,newspaper,date,time,category
Former DMP commissioner Asaduzzaman Mia arrested,The Daily Star,2024-09-12,01:07:15.882747,Rapid Action Battalion has arrested former Dhaka Metropolitan Police (DMP) commissioner Asaduzzaman Mia from the capital's Mohakhali area
Shaheed Suhrawardy Medical College Hospital opens dengue ward,The Daily Star,2024-09-12,01:07:16.372947,Uncategorized
Ghosts of the deposed dictator spreading confusions: Tarique,The Daily Star,2024-09-12,01:07:16.466122,Uncategorized
Workers’ minimum wage to be reviewed,The Daily Star,2024-09-12,01:07:16.562568,Uncategorized
Stocks rise for a second day straight,The Daily Star,2024-09-12,01:07:16.632462,Uncategorized
Ronaldo says Ten Hag's attitude too negative for Man Utd,The Daily Star,2024-09-12,01:07:16.716426,Uncategorized
Politics of destroying shrines and unmaking places,The Daily Star,2024-09-12,01:07:16.796707,Uncategorized
Persistent power outages must be addressed,The Daily Star,2024-09-12,01:07:16.875283,Uncategorized
"Past govt fuelled inflation by printing Tk 60,000cr: Yunus",The Daily Star,2024-09-12,01:07:16.970507,"People are grappling with high inflation because of the fresh injection of Tk 60,000 crore into the market by Sheikh Hasina’s government, Prof Muhammad Yunus, chief adviser to the interim government, said yesterday."
সাবেক ডিএমপি কমিশনার আছাদুজ্জামান মিয়া গ্রেপ্তার,The Daily Star,2024-09-12,01:07:17.064263,Uncategorized
"যৌথ বাহিনীর অভিযান স্বস্তি ফেরানোর জন্য, আতঙ্ক ছড়ানোর জন্যে নয়: গোলাম মোর্তোজা",The Daily Star,2024-09-12,01:07:17.148828,Uncategorized
শুকায়নি বন্যার পানি: বেগমগঞ্জের যেসব গ্রামে এখনো নৌকা নিয়ে যেতে হয়,The Daily Star,2024-09-12,01:07:17.249984,Uncategorized
ধামরাইয়ে বুচাই পাগলার মাজারে হামলা-ভাঙচুর,The Daily Star,2024-09-12,01:07:17.334464,Uncategorized
"কোন খাত সংস্কারের নেতৃত্বে কে, জানালেন প্রধান উপদেষ্টা",The Daily Star,2024-09-12,01:07:17.417167,Uncategorized
৩ সপ্তাহের মধ্যে বিদ্যুৎ পরিস্থিতির উন্নতি: জ্বালানি উপদেষ্টা,The Daily Star,2024-09-12,01:07:17.517189,Uncategorized
গ্যাস সরবরাহের জন্য প্রস্তুত সামিটের এলএনজি টার্মিনাল,The Daily Star,2024-09-12,01:07:17.599760,Uncategorized
